skill,score
Java,82
XML,32
Spring,20
SQL,16
Maven,15
Scrum,14
Agile Methodologies,15
UML,12
Web Services,10
OOP,10
Tomcat,10
Hibernate,9
Web Applications,8
Software Engineering,8
Eclipse,8
JavaScript,8
Business Analysis,8
Unix,7
JUnit,6
SVN,6
AJAX,5
JDBC,5
Git,5
MySQL,5
Linux,5
HTML,4
CSS,4
Ant,4
EJB,4
REST,4
JSP,3
Android,3
Test Driven Development,3
SOAP,3
Testing,2
Security,2
Cryptography,2
Strong Authentication,2
OSGi,2
Grails,2
Groovy,2
Spring Webflow,2
PL/SQL,1
